MAL_ID,Name,Score,Genres,Type,Episodes,Aired
3511,Riki-Oh 2: Horobi no Ko,5.28,"Action, Martial Arts, Super Power, Seinen",OVA,1,1990-08-24
3512,Tenshi Nanka ja Nai,6.16,"Comedy, Drama, Shoujo",OVA,1,1994-09-21
3513,Tanjou: Debut,5.13,"Slice of Life, Romance, Supernatural",OVA,2,1994-10-21
3515,Saint Seiya: Meiou Hades Elysion-hen,7.59,"Action, Fantasy, Shounen, Super Power",OVA,6,2008-03-07
3516,Hal & Bons,5.13,"Slice of Life, Comedy",OVA,5,2002-10-02
3518,Ginga no Uo Ursa Minor Blue,6.24,"Fantasy, Kids",OVA,1,1993-05-21
3519,Garakuta-doori no Stain,6.55,Comedy,TV,13,2003-01-06
3522,Choujin Locke,6.37,"Action, Sci-Fi, Super Power",Movie,1,1984-03-11
3525,Extra,5.96,"Action, Sci-Fi, Music, Dementia, Horror",Music,1,1995-01-01
3526,Mahou Shoujo Meruru,5.62,"Adventure, Fantasy, Magic, Hentai",OVA,2,1997-01-21
3527,Lesbian Byoutou,5.48,Hentai,OVA,2,2003-03-06
3529,Kowaremono II,5.53,Hentai,OVA,2,2001-08-25
3530,Virtuacall 2,5.37,Hentai,OVA,2,1997-08-29
3531,Shinjin Tour Conductor,5.47,Hentai,OVA,1,2004-10-25
3532,Shino-sensei no Yuuwaku Jugyou,5.99,Hentai,OVA,1,2004-11-12
3533,Gakuentoshi Varanoir Joukan,4.77,"Action, Magic",OVA,2,2002-10-23
3534,Seijuuden: Twin Dolls,5.57,"Action, Demons, Hentai, Magic, Supernatural",OVA,2,1994-07-22
3535,Neko Ramen,6.23,Comedy,ONA,13,2006-12-29
3536,Youshou,5.23,"Demons, Hentai, Horror",OVA,2,2001-02-11
3537,Cleavage,6.66,Hentai,OVA,2,2006-02-24
3538,Dorei Kaigo,6.16,Hentai,OVA,3,2003-01-24
3539,Utsukushiki Emono-tachi no Gakuen,5.47,Hentai,OVA,2,2001-10-21
3540,Henbou Moral Hazard,4.71,Hentai,OVA,1,2001-03-23
3541,Kouin Tenshi: Haitoku no Lycéenne,4.91,Hentai,OVA,1,1998-11-19
3542,Mechiku,5.06,Hentai,OVA,1,1999-02-26
3543,Kiss yori...,5.83,Hentai,OVA,3,1999-07-09
3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.76,"Slice of Life, Comedy, Police",TV,373,1996-06-16
3546,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Jump Festa Special,6.63,"Comedy, Police",Special,1,1985-11-23
3547,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen,6.76,"Comedy, Police",Movie,1,2003-12-20
3549,Allison to Lillia,7.35,"Action, Adventure, Shounen",TV,26,2008-04-03
3550,Midori no Makibao,6.45,"Sports, Comedy",TV,61,1996-03-09
3551,Dragon Rider,5.68,Hentai,OVA,2,1995-10-27
3553,Reyon Densetsu Flair,5.03,"Action, Demons, Fantasy, Hentai",OVA,2,1986-07-14
3556,Soukan Rensa,5.67,Hentai,OVA,1,2004-09-24
3557,Shoujo Auction,5.97,Hentai,OVA,2,2005-12-09
3558,Doukyuusei (OVA): Natsu no Owari ni,5.59,"Harem, Hentai, Drama, Romance",OVA,4,1994-07-08
3559,Stringendo: Angel-tachi no Private Lesson,7.42,Hentai,OVA,12,2006-01-27
3560,Karen,5.83,Hentai,OVA,1,2002-08-18
3561,Dennou Boukenki Webdiver,6.89,"Adventure, Mecha, Sci-Fi, Shounen",TV,52,2001-04-06
3562,Chu^2,5.08,Hentai,OVA,1,1997-10-25
3563,Momone,5.29,Hentai,OVA,1,1998-01-25
3564,Pianist,5.02,Hentai,OVA,1,1998-06-25
3565,U-Jin Brand,5.48,Hentai,OVA,1,1991-12-27
3566,Hika Ryoujoku: Wana ni Hamatta Futari,5.27,Hentai,OVA,1,2003-01-18
3567,Renzu: Futari no Kyori,5.22,Hentai,OVA,1,2000-10-08
3568,Ganbarist! Shun,7.2,"Comedy, Shounen, Sports",TV,30,1996-07-01
3569,Injuu Seisen: Twin Angels,5.64,"Hentai, Horror",OVA,4,1995-05-12
3570,Yadosagashi,6.51,"Adventure, Fantasy, Kids, Slice of Life",Special,1,2006-01-03
3571,Mach GoGoGo (1997),6.31,"Adventure, Cars",TV,34,1997-01-09
3572,Macross F,7.92,"Action, Space, Mecha, Romance, Military, Music, Sci-Fi",TV,25,2008-04-04
3574,Switch,6.94,"Action, Mystery, Police",OVA,2,2008-10-24
3576,Kodai Ouja Kyouryuu King,6.14,"Adventure, Kids, Fantasy",TV,49,2007-02-04
3577,Kyouran Kazoku Nikki,7.28,"Comedy, Sci-Fi",TV,26,2008-04-12
3578,Daraku: Onna Kyoushi Hakai,6.09,Hentai,OVA,3,2002-09-18
3579,Getter Robo,6.79,"Action, Sci-Fi, Mecha, Shounen",TV,51,1974-04-04
3580,Ijoku,5.7,Hentai,OVA,2,2006-07-14
3581,Requiem,5.27,Hentai,OVA,2,2005-06-25
3582,Mashou no Kao,6.12,Hentai,OVA,1,2004-07-25
3583,Endless Serenade,5.54,Hentai,OVA,1,2000-04-14
3584,Injuu Nerawareta Idol,4.73,"Demons, Hentai",OVA,1,1997-07-02
3586,Isaku,5.61,Hentai,OVA,3,1997-11-28
3587,Isaku: Respect,5.57,Hentai,OVA,3,2001-02-23
3588,Soul Eater,7.88,"Action, Fantasy, Comedy, Supernatural, Shounen",TV,51,2008-04-07
3593,Utawarerumono OVA,7.22,"Action, Comedy, Fantasy",OVA,3,2009-06-05
3594,Tears to Tiara,7.2,"Action, Adventure, Fantasy, Magic",TV,26,2009-04-06
3595,Kujakuou,5.95,"Action, Demons, Horror",OVA,3,1988-04-29
3596,Lightning Trap: Leina & Laika,5.43,"Action, Sci-Fi",OVA,1,1990-05-23
3597,Fantasia,5.45,"Comedy, Drama, Magic, Romance, Fantasy",OVA,1,1993-11-26
3599,Shin Kujakuou,5.96,"Action, Demons, Horror",OVA,2,1994-05-20
3600,Sengoku Kitan Youtouden,5.97,"Action, Demons, Martial Arts",OVA,3,1987-05-21
3602,Ginga Tetsudou 999: Eternal Fantasy,6.63,"Action, Drama, Sci-Fi, Space",Movie,1,1998-03-07
3603,JoJo no Kimyou na Bouken: Phantom Blood,7.71,"Action, Adventure, Horror, Shounen, Vampire",Movie,1,2007-02-17
3604,Hidamari Sketch x 365,7.84,"Slice of Life, Comedy, School, Seinen",TV,13,2008-07-04
3605,Princess Army: Wedding★Combat,5.25,"Action, Martial Arts, Romance, Shoujo",OVA,2,1992-08-01
3609,Kikou Kantai Dairugger XV,6.42,"Action, Sci-Fi, Adventure, Space, Mecha, Shounen",TV,52,1982-03-03
3613,Toshokan Sensou,7.48,"Action, Military, Comedy, Romance",TV,12,2008-04-11
3614,Yakushiji Ryouko no Kaiki Jikenbo,7.09,"Mystery, Police, Supernatural",TV,13,2008-07-06
3615,Neo Angelique Abyss,6.85,"Comedy, Fantasy, Harem, Romance, Shoujo",TV,13,2008-04-07
3616,Kamen no Maid Guy,7.03,"Action, Comedy, Ecchi, Super Power",TV,12,2008-04-06
3618,Moyashimon: Kin Gekijou Deluxe,6.76,Comedy,Special,4,2007-12-21
3619,Nanako SOS,6.31,"Comedy, Parody, Romance, Super Power",TV,39,1983-04-02
3620,Blue Seed Omake,6.85,"Comedy, Parody",Special,14,1995-01-21
3622,Ikusa Otome Suvia,6.51,"Hentai, Fantasy",OVA,4,2007-12-22
3625,Battle Royal High School,5.57,"Action, Horror, Super Power, Demons, Supernatural, Martial Arts",OVA,1,1987-12-10
3626,Mobile Suit Gundam Wing: Operation Meteor,7.46,"Action, Military, Sci-Fi, Adventure, Space, Psychological, Drama, Mecha",OVA,4,1996-04-25
3627,D.C.II S.S.: Da Capo II Second Season,7.23,"Fantasy, Comedy, Harem, Romance, Drama",TV,13,2008-04-06
3628,Ingoku Byoutou,5.79,Hentai,OVA,2,2002-08-09
3631,Aoi Blink,6.77,"Adventure, Fantasy",TV,39,1989-04-07
3633,Angel,5.44,"Comedy, Hentai, School",OVA,1,1990-10-25
3635,Advancer Tina,5.05,"Space, Hentai, Sci-Fi",OVA,1,1996-08-21
3636,Warau Kangofu The Animation,6.73,Hentai,OVA,2,2007-10-26
3637,Bouken Yuuki Pluster World,6.18,"Action, Sci-Fi, Adventure, Shounen",TV,52,2003-04-03
3638,Kaiketsu Zorori,7.06,"Adventure, Comedy",TV,52,2004-02-01
3639,Princess Road: Bara to Dokuro no Monshou,5.23,Hentai,OVA,1,1994-12-23
3640,Monkey Punch no Sekai: Alice,5.38,"Action, Comedy, Ecchi",OVA,1,1991-12-13
