MAL_ID,Name,Score,Genres,Type,Episodes,Aired
7523,Majimoji Rurumo,6.85,"Comedy, Magic, Ecchi, Fantasy, School, Shounen",TV,12,2014-07-09
7524,Fukuyama Gekijou: Natsu no Himitsu,6.11,"Music, Kids, Fantasy",OVA,1,1990-09-27
7525,Futari Ecchi (2014),6.19,"Comedy, Ecchi, Romance, Seinen, Slice of Life",OVA,3,2014-10-10
7526,Sarusuberi: Miss Hokusai,7.2,"Historical, Supernatural, Drama, Seinen",Movie,1,2015-05-09
7527,Maken-Ki! Two Specials,6.21,Ecchi,Special,5,2014-03-28
7528,Cardfight!! Vanguard Movie: Neon Messiah,6.79,"Action, Adventure, Game, Demons, Shounen",Movie,1,2014-09-13
7529,Lance N' Masques,5.52,Fantasy,TV,12,2015-10-02
7530,Sei Shoujo The Animation,6.73,Hentai,OVA,1,2014-07-25
7531,Shijou Saikyou no Deshi Kenichi Specials,7.27,"Action, Martial Arts, Comedy, School, Shounen",Special,4,2013-11-15
7532,Denki-gai no Honya-san,7.21,"Comedy, Seinen, Slice of Life",TV,12,2014-10-02
7533,Selector Spread WIXOSS,7.39,"Game, Psychological",TV,12,2014-10-04
7534,gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?,6.28,"Comedy, Fantasy",Movie,1,2014-09-27
7535,Persona 4 the Golden Animation,6.63,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School",TV,12,2014-07-11
7536,Tooryanse,5.89,"Supernatural, Music",Music,1,2014-01-14
7537,Kaette Kita Top wo Nerae! Kagaku Kouza,5.61,"Comedy, Mecha, Sci-Fi",Special,2,2012-02-24
7538,Hashi no Mukou,5.91,"Historical, Horror, Supernatural",ONA,1,2012-09-21
7539,Taimadou Gakuen 35 Shiken Shoutai,6.9,"Action, Ecchi, Fantasy, Harem, Military, Romance, Supernatural",TV,12,2015-10-08
7540,Nobunaga Concerto,7.6,"Comedy, Historical, Romance, Shounen",TV,10,2014-07-12
7541,Tokyo Babylon: Vision,5.53,"Music, Supernatural",Music,1,1992-12-21
7542,Ao Haru Ride OVA,7.6,"Slice of Life, Romance, School, Shoujo",OVA,2,2014-08-25
7543,Detective Conan: The Fugitive Kogorou Mouri,6.96,"Mystery, Comedy",ONA,1,2014-04-30
7544,Mushibugyou OVA,7.08,"Action, Historical, Super Power, Ecchi, Martial Arts, Samurai, Fantasy, Shounen",OVA,3,2014-07-18
7545,Nozo x Kimi,6.44,"Comedy, Ecchi, Romance, School, Shounen",OVA,3,2014-08-18
7546,Strobe Light,6.08,Music,Music,1,2011-09-03
7547,3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku,5.45,"Music, School",Music,1,2013-03-03
7548,E no Umakatta Tomodachi,5.48,Music,Music,1,2014-04-09
7549,Oosouji,5.44,Music,Music,1,2013-12-27
7550,Rakugaki Picasso,5.59,Music,Music,1,2014-04-16
7551,Orenchi no Furo Jijou,7.0,"Comedy, Fantasy, Josei",TV,13,2014-10-06
7552,Nisekoi OVA,7.41,"Comedy, Harem, Romance, School, Shounen",OVA,3,2014-10-03
7553,Hitsugi no Chaika: Avenging Battle,7.22,"Action, Adventure, Comedy, Romance, Fantasy",TV,10,2014-10-09
7554,Hitsugi no Chaika OVA,7.02,"Action, Adventure, Comedy, Fantasy",OVA,1,2015-03-10
7555,Paizuri Cheerleader vs. Sakunyuu Ouendan!,6.69,Hentai,OVA,1,2014-07-18
7556,Iinari! Saimin Kanojo,6.35,Hentai,OVA,2,2015-02-10
7557,Medamayaki no Kimi Itsu Tsubusu?,5.98,"Comedy, Seinen",Special,4,2014-08-05
7558,Yowamushi Pedal: Grande Road,8.12,"Comedy, Drama, Shounen, Sports",TV,24,2014-10-07
7559,PoPo Loouise,5.68,"Kids, Music",Music,1,2008-10-16
7560,Love Colon,6.51,Hentai,OVA,2,2014-07-25
7561,Hoka Hoka Oden no Uta,5.5,Music,Music,1,2012-12-10
7562,Oyome-sama Honey Days♥,6.01,Hentai,OVA,2,2014-11-28
7563,Inazuma Eleven: Chou Jigen Dream Match,6.94,"Sports, Super Power, Shounen",Movie,1,2014-06-13
7564,Mokkai Shiyo?,6.37,Hentai,OVA,1,2014-07-04
7565,Tonari no Seki-kun Specials,7.47,"Comedy, School, Seinen",Special,2,2014-05-28
7566,Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude,6.71,"Drama, Mecha, Military",Special,1,2014-05-17
7567,Spocon!,6.94,Hentai,OVA,2,2014-09-26
7568,World Trigger,7.58,"Action, Sci-Fi, Supernatural, School, Shounen",TV,73,2014-10-05
7569,Kuroko no Basket 3rd Season,8.34,"Comedy, Sports, School, Shounen",TV,25,2015-01-11
7570,Maido! Urayasu Tekkin Kazoku,6.21,"Comedy, Shounen",TV,25,2014-07-06
7571,Daze,7.23,Music,Music,1,2014-05-29
7572,World Fool News,5.55,"Comedy, Slice of Life",ONA,6,2013-04-01
7573,Kekkai Sensen,7.65,"Action, Comedy, Super Power, Supernatural, Vampire, Fantasy, Shounen",TV,12,2015-04-05
7574,Peeping Life: Shinkon-chan Kansai ni Irasshai,5.36,"Comedy, Slice of Life",ONA,1,2014-03-27
7575,Kanojo ga Flag wo Oraretara: Christmas? Sonna Mono ga Boku ni Tsuuyou Suru to Omou no ka?,6.74,"Harem, Comedy, Romance, School",OVA,1,2014-12-02
7576,Fetikano!,6.47,Hentai,OVA,1,2014-07-25
7577,Madan no Ou to Vanadis,7.17,"Adventure, Ecchi, Fantasy, Harem, Romance",TV,13,2014-10-04
7578,Houkago no Ouji-sama,6.9,"Comedy, School, Shounen, Sports",Special,5,2014-10-29
7579,Tales of Zestiria: Doushi no Yoake,7.41,Fantasy,Special,1,2014-12-30
7580,Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de,7.31,"Action, Mecha, Sci-Fi",Special,2,2014-09-30
7581,Hoozuki no Reitetsu OVA,7.88,"Comedy, Demons, Supernatural, Fantasy, Seinen",OVA,4,2015-02-23
7582,Mangaka-san to Assistant-san to The Animation Specials,7.23,"Comedy, Ecchi, Harem, Seinen, Slice of Life",Special,6,2014-06-25
7583,Yomigaeru Sora Pilot,6.2,"Action, Military, Seinen",Special,1,2006-10-27
7584,Ane Log: Moyako Neesan no Tomaranai Monologue,6.14,"Comedy, Ecchi, School, Shounen",OVA,3,2014-09-16
7585,Persona 3 the Movie 3: Falling Down,7.62,"Action, Fantasy, Supernatural",Movie,1,2015-04-04
7586,Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,6.92,"Comedy, Kids, Supernatural",Movie,1,2014-12-20
7587,Gundam Build Fighters Try,7.27,"Action, Sci-Fi, Mecha",TV,25,2014-10-08
7588,Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,7.46,"Comedy, Romance, School, Shounen",OVA,2,2014-12-17
7589,Koufuku Graffiti,6.8,"Slice of Life, Comedy, Seinen",TV,12,2015-01-09
7590,LolitA☆Strawberry in Summer,5.22,Music,Music,1,2012-09-21
7591,G-On Riders Special,5.65,"Sci-Fi, Comedy, Ecchi",Special,1,2003-03-21
7592,Baku Ane: Otouto Shibocchau zo! The Animation,7.38,Hentai,OVA,1,2014-08-29
7593,Date A Live Movie: Mayuri Judgment,7.36,"Harem, Romance, Sci-Fi",Movie,1,2015-08-22
7594,Future Card Buddyfight Recap,6.02,Game,Special,1,2014-06-14
7595,Mushishi Zoku Shou: Odoro no Michi,8.46,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,2014-08-20
7596,Gokukoku no Brynhildr: Kara Sawagi,6.6,"Sci-Fi, Harem, Comedy, Ecchi, Seinen",Special,1,2014-09-24
7597,Ai Tenchi Muyou!,6.19,"Comedy, Sci-Fi, Shounen",TV,50,2014-10-06
7598,Mushishi Zoku Shou 2nd Season,8.76,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,2014-10-19
7599,High School DxD BorN,7.45,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,2015-04-04
7600,"Ore, Twintail ni Narimasu.",6.51,"Action, Comedy, Romance, Fantasy, School, Shounen",TV,12,2014-10-10
7601,Miss Monochrome The Animation: Soccer-hen,6.25,"Slice of Life, Comedy, Sports",ONA,1,2014-06-17
7602,Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,7.11,"Comedy, Magic",Special,1,2011-10-26
7603,Yakin Byoutou Specials,5.52,Hentai,OVA,2,2003-03-28
